[*] Đọc collection: C:\Users\Lenovo\Downloads\FileTaiLieuHK8\DoAnKySu\Web3-GiangVien\Document\Day13-06-2026\..\Day03-06-2026\PhoBERT_100Cases_Collection.json
[*] Tổng số test cases: 100
  [  1/100] Ca 1 - 1-nghien-cuu-li-luan-ve-he-thong-quan-li-hoc-tap-truc-tuyen-...... score= 6.00 | True Positive (TP)   |   11471ms
  [  2/100] Ca 2 - 2-do-an-2-he-thong-diem-danh-nhan-dien-khuon-mat-voi-rfid.pd...... score= 7.89 | True Positive (TP)   |   11697ms
  [  3/100] Ca 3 - 3-do-an-mon-nhap-mon-ung-dung-di-dong-quan-ly-chi-tieu-ca-nh...... score= 7.67 | True Positive (TP)   |    9620ms
  [  4/100] Ca 4 - 4-khoa-luan-tot-nghiep-xay-dung-phan-mem-quan-ly-nhan-su-sua...... score= 8.96 | True Positive (TP)   |    8832ms
  [  5/100] Ca 5 - 5-de-tai-nhap-mon-khoa-hoc-du-lieu-2024-phan-tich-du-lieu-ma...... score= 5.00 | False Negative (FN)  |    6180ms
  [  6/100] Ca 6 - 6-tong-hop-de-tai-khoa-luan-tot-nghiep-ve-an-toan-thong-tin-...... score= 5.35 | True Positive (TP)   |   10019ms
  [  7/100] Ca 7 - 7-luan-van-tot-nghiep-he-thong-giam-sat-nha-kinh-thong-minh-...... score= 7.52 | True Positive (TP)   |   11321ms
  [  8/100] Ca 8 - 8-do-an-tot-nghiep-k63-nghien-cuu-kien-truc-microservice-voi...... score= 7.49 | True Positive (TP)   |   11580ms
  [  9/100] Ca 9 - 9-bao-cao-chuyen-de-lap-trinh-blockchain-he-thong-dau-gia-we...... score= 9.00 | True Positive (TP)   |   14012ms
  [ 10/100] Ca 10 - 10-ap-dung-ai-trong-du-doan-gia-co-phieu-hpg-k23ktb-2022-202..... score= 6.95 | True Positive (TP)   |   12517ms
  [ 11/100] Ca 11 - 11-xay-dung-ung-dung-di-dong-doc-sach-de-tai-d17ht.pdf... (MIS... score= 7.67 | False Positive (FP)  |   10998ms
  [ 12/100] Ca 12 - 12-tieu-luan-big-data-va-ung-dung-trong-phan-tich-hanh-vi-ng..... score= 7.64 | False Positive (FP)  |   11414ms
  [ 13/100] Ca 13 - 13-tieu-luan-mon-khoa-hoc-du-lieu-hop-dong-thong-minh-ethere..... score= 6.33 | False Positive (FP)  |   11345ms
  [ 14/100] Ca 14 - 14-do-an-cuoi-ky-mon-thuong-mai-dien-tu-website-ban-my-pham-..... score= 7.44 | False Positive (FP)  |    8658ms
