student_id,target_topic_id,rank,skills,response_ms
S_1,T_1,32,"Above, Retention, Creative, Designer",11746.39105796814
S_4,T_4,1,"Chung, Kim",10856.833934783936
S_5,T_5,13,"Chuy, STEAM",10910.23850440979
S_7,T_7,1,"End, Wordpress, MySQL, Cao",11081.916570663452
S_9,T_9,3,"Matlab, C++, Khoa, FPGA",10930.288791656494
S_10,T_10,92,"Great, System, Excellent, Minimum",11034.844636917114
S_14,T_14,22,"Trung, AutoCad, Cao, Office",10855.679988861084
S_21,T_21,4,"CNTT, Sinh",11120.50724029541
S_22,T_22,1,"PMS, Quen, CRM, Office",10928.073406219482
S_23,T_23,1,"End, PostgreSQL, NET, MongoDB",11062.266111373901
S_24,T_24,2,"NgiNX, Nginx, Mysql, Linux",10969.053983688354
S_25,T_25,51,"Trung, Mong, Nhanh",11043.716430664062
S_27,T_27,2,"Cao, CNTT, MCSA, MCITP",11420.304536819458
S_28,T_28,12,Cao,10811.127424240112
S_29,T_29,25,"CNTT, Kinh, Trung, Help",11065.42420387268
S_30,T_30,17,"Backend, Frontend",11253.070831298828
S_33,T_33,1,"Bootstrap, CSS, JSP, SQL",11057.003736495972
S_35,T_35,10,"CSDL, CSS, SQL, Net",10904.839038848877
S_37,T_37,1,CCTV,13807.298421859741
S_38,T_38,9,"Boot, MongoDB, Sharp, Patterns",14679.301261901855
S_39,T_39,25,"Cao, CNTT, Nam, WAN",15189.289093017578
S_41,T_41,17,"Giao, Anh",15116.501092910767
S_43,T_43,9,"Ngoa, CNTT, Trung, TVT",14157.414197921753
S_44,T_44,1,"Cisco, MPLS, Juniper, Cao",14550.362825393677
S_45,T_45,3,"Experience, SystemUI, JNI, Linux",14807.399988174438
S_46,T_46,37,"Trung, Cao, Thu",14747.49732017517
S_53,T_53,1,"Experience, Prioritizing, JLPT, BrSE",14899.674654006958
S_54,T_54,2,"CCTV, CNTT, Giao, Anh",13930.637836456299
S_55,T_55,2,"DHCP, CNTT, Scaner, Email",12959.740400314331
S_56,T_56,2,"Cisco, MPLS, Juniper, Cao",11299.157857894897
S_58,T_58,39,"Trung, Cao",10741.912126541138
S_60,T_60,93,"Great, System, Excellent, Minimum",10910.853862762451
S_61,T_61,39,"550, TOEIC, Anh, CCNA",10764.35112953186
S_62,T_62,51,"SDN, Project, Word, Power",11118.589639663696
S_63,T_63,7,"SQL, Giao, FMCG, Trung",11148.914575576782
S_66,T_66,32,"Word, iDRAC, Dell, IBM",10991.555213928223
S_67,T_67,2,"Windows, CNTT, Huy, LONG",11020.314455032349
S_69,T_69,45,"Server, Team, NET, SQL",10835.650205612183
S_70,T_70,1,"Pre, Anh, Sales, Network",10972.417831420898
S_71,T_71,23,"Trung, CNTT",11181.121349334717
S_72,T_72,29,"Trung, CNTT",11004.233121871948
S_73,T_73,2,"CAD, Cao, Word, CNTT",10773.298263549805
S_74,T_74,1,"NET, PHP, Ruby, Swift",10865.66710472107
S_79,T_79,94,"Great, System, Excellent, Minimum",11089.72191810608
S_82,T_82,1,"Windows, Grafana, Linux, Network",11064.269304275513
S_83,T_83,7,"Experience, Knowledge, APIs, MVC",11747.54548072815
S_85,T_85,12,"CNTT, Anh, Sinh",10952.03971862793
S_86,T_86,1,"Camera, Laptop, Wifi, Photo",10905.521392822266
S_88,T_88,1,"Typescript, Senior, Framework, Javascript",10889.20259475708
S_89,T_89,45,"Anh, 2021",11755.290746688843
S_93,T_93,28,"There, Swift, Computer, Strong",10993.123531341553
S_98,T_98,3,Trung,11076.37619972229
S_99,T_99,5,Trung,11007.605075836182
S_100,T_100,1,"550, TOEIC, Word, PowerPoint",11064.845085144043
S_103,T_103,64,Trung,10860.198497772217
S_104,T_104,11,"Boot, Hibernate, Queue, MVC",11131.417274475098
S_105,T_105,16,"MongoDB, Postgres, Container, Docker",10930.849552154541
S_109,T_109,15,"Anh, PLC, Quen",11343.483209609985
S_110,T_110,1,"Push, Ecommerce, React, Restful",10673.04539680481
S_112,T_112,40,"Confluence, Exceptional, Analyst, English",10796.081066131592
S_113,T_113,1,"Game, Nhi",10763.517379760742
S_114,T_114,4,"Software, English, Ruby, Liquid",10917.885541915894
S_115,T_115,1,"xCode, androidStudio, Unity, API",10963.003635406494
S_116,T_116,75,"Provider, XCode, Admob, Management",10859.755277633667
S_117,T_117,13,Nhi,10775.091886520386
S_118,T_118,1,"Marketing, Analyst, Google, Facebook",10983.461380004883
S_119,T_119,95,"Great, System, Excellent, Minimum",11008.150815963745
S_120,T_120,53,Nam,10897.719860076904
S_122,T_122,1,"Trello, Nginx, Backend, ReactJS",10865.66710472107
S_123,T_123,6,"AutoCad, Solidworks, Nam, Nhanh",10933.236122131348
S_124,T_124,3,"Engine, Unity, Design, Anh",10895.968675613403
S_125,T_125,7,Cao,11121.495246887207
S_126,T_126,7,"Cao, Linux, Google, Word",12005.680084228516
S_129,T_129,1,"MongoDB, CNTT, Task, Cloud",10723.178625106812
S_130,T_130,1,Nhanh,10898.84090423584
S_134,T_134,19,"Nam, Cao",10768.026351928711
S_135,T_135,10,"Java, Unity, Sinh",13036.288499832153
S_136,T_136,45,"Trung, Linh, Nam, Internet",11615.838050842285
S_137,T_137,1,"Designer, Game, Kinh, Theo",11269.643545150757
S_140,T_140,2,"DHCP, Scaner, Email, Windows",11043.038606643677
S_143,T_143,1,"Revit, C++, CAD, Python",11277.85611152649
S_144,T_144,1,"Cao, CNTT, CNNA, MCSA",10998.194217681885
S_146,T_146,6,"Camera, Trung, Anh, Desk",11334.057807922363
S_147,T_147,16,CNTT,11904.943227767944
S_148,T_148,1,"Redis, MongoDB, Python, Flask",13815.664291381836
S_150,T_150,23,Cao,11361.14764213562
S_151,T_151,1,"CSDL, Word, SQL, Sinh",11645.511150360107
S_152,T_152,35,"Giao, Anh",11493.056058883667
S_157,T_157,2,"Associate, Cloud, Expert, Microsoft",11313.419580459595
S_158,T_158,2,"Server, SOLID, NET, CSS",11983.407497406006
S_160,T_160,14,"Agile, Cao, CRM, Scrum",11159.016847610474
S_162,T_162,45,"Kinh, Trung, Gara, Nam",11219.04468536377
S_164,T_164,5,"Tiktok, Social, Reviewer, Ngo",11321.437358856201
S_166,T_166,12,"JUnit, Docker, Microservices, Posgres",11153.798580169678
S_167,T_167,63,"Trung, Cao",11588.604211807251
S_168,T_168,98,"Vue, Docker, Cloud, Responsive",12474.608898162842
S_170,T_170,7,"CNTT, Framework, Redux, Cache",12698.089838027954
S_171,T_171,3,"SCM, CNTT, Container, Cloud",12026.85809135437
S_172,T_172,33,CSKH,13684.372901916504
S_173,T_173,1,"AngularJS, Bootstrap, NET, CSS",12408.450365066528
